"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4649","YNCA0005W",1.482782993462,0.108063688771628,0.857949173149449,0.125955816677271,0.899766899131781,0.939357828938667
"4650","YNCA0006C",1.20181050895941,-2.5071464027457,1.05640833309061,-2.3732739739101,0.017631180421297,0.0499747328719985
"4651","YNCB0001W",1.79818703010802,0.0819188188500158,0.799590350601541,0.102450984792885,0.918398716521954,0.951595660642228
"4652","YNCB0002W",0.895246080915528,-1.97668749369638,1.16399634324078,-1.69819046698455,0.089471819213177,0.179141584929038
"4653","YNCB0003W",53.4753116022719,-1.66759305401806,0.174587414560767,-9.55162236758843,1.27680904908638e-21,4.70266588718733e-20
"4654","YNCB0004W",0,NA,NA,NA,NA,NA
"4655","YNCB0005C",0,NA,NA,NA,NA,NA
"4656","YNCB0006W",1.23255918224908,-1.36448850044642,0.983611410702902,-1.38722313059721,0.165373734339895,0.283683348779646
"4657","YNCB0007W",0.708611085141246,-0.898358051381265,1.41156468106507,-0.636427124758764,0.524498066010777,0.659526647117561
"4658","YNCB0008W",191.570048354587,-1.68952252750401,0.649325579574543,-2.60196514760905,0.00926912715308807,0.0293306296277787
"4659","YNCB0009C",11.7796992634201,-0.0983360827333529,0.300112637994516,-0.327663917755939,0.743165787973806,0.833709096301409
"4660","YNCB0010W",3071.8417597732,-0.990033772004789,0.0617561389452602,-16.0313418052631,7.71976933503184e-58,8.89177067953213e-56
"4661","YNCB0011C",1.24835241518213,-2.54655657532134,1.22124989329462,-2.0852051568671,0.0370506820063193,0.0901713678486487
"4662","YNCB0012W",0.837214046053764,-2.50294239032424,1.36748557717844,-1.83032452560751,0.0672014261134953,0.144655465317361
"4663","YNCB0013W",0.727894406860963,-0.263528948461708,1.30401448891969,-0.202090506432968,0.839845969518297,0.903297829694128
"4664","YNCB0014W",9.84105351089352,-0.138620245439212,0.398420201922466,-0.347924740689198,0.727896704331491,0.822739250923001
"4665","YNCB0015W",0.660763627350966,-0.0442918749620861,3.06204827711103,-0.0144647866244207,0.988459172526459,0.992690053575637
"4666","YNCB0016W",0.32249996957048,0.0789320761607866,1.72396388276858,0.0457852260999961,0.96348143432612,0.978777242856955
"4667","YNCB0017C",0.989642204176073,1.07786233069756,1.23717100726677,0.871231482443839,0.383627773327707,0.529819477661004
"4668","YNCB0018W",1.09197289395817,-1.6645663069637,1.16016214196351,-1.43477040558013,0.151352533772592,0.265821541849008
"4669","YNCB0019C",200.72197259054,-0.381887875365505,0.112223235229214,-3.40293054807684,0.000666672247664924,0.00312148461859371
"4670","YNCC0001C",11.6786178899243,-0.315405063470917,0.356962678493005,-0.883579943994334,0.376923009607769,0.523986672342597
"4671","YNCC0002W",9.3460776867064,-1.9021087264647,1.26134709763034,-1.50799786199861,0.131555074211352,0.240311820971428
"4672","YNCC0003C",158.19518927021,-0.484192148035778,0.0881259209988827,-5.49432156336745,3.92215262891745e-08,4.0665854180347e-07
"4673","YNCC0004C",5.21702304399992,-0.457483743311578,0.473747394371565,-0.9656702047268,0.334209233270685,0.480203105640687
"4674","YNCC0005W",2.27399967729698,-0.776350963280731,0.691238121985738,-1.12313100013999,0.261381861872278,0.400061390423021
"4675","YNCC0006C",1276.09634054504,-0.549241042077326,0.07593783255095,-7.23277217201079,4.73232936985057e-13,9.42745489245389e-12
"4676","YNCC0007C",0.0846835636315678,-0.401969594429767,3.11653965008542,-0.128979457847985,0.897373903307063,0.937477519368444
"4677","YNCC0008W",0,NA,NA,NA,NA,NA
"4678","YNCC0009C",0,NA,NA,NA,NA,NA
"4679","YNCC0010C",0.701883325530659,-2.91368074420189,1.29128014698173,-2.25642805011167,0.0240438365932176,0.064106778122068
"4680","YNCC0011W",47.2111138799601,-1.16170937250874,0.171338711358209,-6.7801920727652,1.20016216888468e-11,2.02747395730252e-10
"4681","YNCC0012C",27.072316584986,-1.38106169045346,0.21987525755794,-6.28111460012517,3.36154227751728e-10,4.70096475233377e-09
"4682","YNCC0013W",7.89120223229958,-1.23874013352191,0.419924114156062,-2.94991426251254,0.00317862124048054,0.011796572877082
"4683","YNCC0014W",3.49029744747295,-1.08990459261352,0.617604315657655,-1.76472956062967,0.0776092279826639,0.161240550714234
"4684","YNCC0015W",20.3059265021295,-0.417116368659698,0.242144659885194,-1.72259164772604,0.0849623964673433,0.171927647845857
"4685","YNCD0001W",0.235372018747034,-1.34267160046934,2.47650370432783,-0.542164180139501,0.587705408823359,0.715570587141261
"4686","YNCD0002C",780.053282830721,-0.761977649201478,0.0476442413367592,-15.9930692109391,1.4281786492774e-57,1.61562709699506e-55
"4687","YNCD0003W",17.5705535979548,-0.764362053969742,0.276515680880157,-2.76426295802378,0.00570515422752572,0.0195152008808723
"4688","YNCD0004W",0.649962897497179,-1.40205868599899,1.24811120360974,-1.12334436382272,0.261291269017616,0.4000349766683
"4689","YNCD0005C",4.39593297930994,0.303605623755398,0.516953772165556,0.587297433740685,0.557003964359515,0.68770612243569
"4690","YNCD0006W",0.156068884623983,0.0789264583889755,2.74081520383573,0.0287967091975115,0.977026725472996,0.985470674024886
"4691","YNCD0007C",13.9734767283881,-0.706051684928998,0.310877065774763,-2.27116041245882,0.0231372689378162,0.0622661846733498
"4692","YNCD0008W",1.08993233677321,-1.70710296746577,1.24141735166951,-1.37512413949265,0.169092961699255,0.288500919031721
"4693","YNCD0009W",0.757602099521941,-0.935691135000599,1.23966107756582,-0.754795929253429,0.450371436765938,0.593284061533004
"4694","YNCD0010C",43.5639987047346,-1.20717140150429,0.239050614741937,-5.04985692175474,4.42141098889113e-07,4.02803750821339e-06
"4695","YNCD0011W",0.0828016472800478,0.559815422163131,3.11653965008542,0.179627242075289,0.857445216451201,0.912823997949678
"4696","YNCD0012W",1.24138590071127,2.08646425615438,1.16381998426739,1.79277232248919,0.0730093368031523,0.153966094756315
"4697","YNCD0013C",1.71080975033981,-0.87397464517557,0.882746713264889,-0.990062757575302,0.322143445282871,0.46796118456019
"4698","YNCD0014C",0.224025618337036,-1.32442616879436,2.51527023884997,-0.526554224010504,0.59850318754608,0.725443536291688
"4699","YNCD0015C",0.506136017473963,-0.803403276640271,1.47417198455247,-0.544986124454241,0.585763060802661,0.714029053335551
"4700","YNCD0016C",1.59251889469998,-1.91667804403109,0.988166832916115,-1.93963001002058,0.0524246710284667,0.118780504637102
"4701","YNCD0017W",1.48056178406673,0.361417064562015,0.873639822990889,0.413691151720524,0.67910030799836,0.784474208954701
"4702","YNCD0018W",7.15164289317509,-0.331547976258817,0.431460981329783,-0.768430960401033,0.442231192600752,0.586095105674846
"4703","YNCD0019C",1.8413646439852,0.659443701969114,0.818189265020079,0.80597941107542,0.420254720738603,0.565007142588932
"4704","YNCD0020W",59.464880934054,-0.363170896353633,0.134436994752758,-2.70142081814264,0.00690439183684003,0.0229001687363255
"4705","YNCD0021C",0.24356961631522,-1.36297058395939,2.45621135755039,-0.554907695451218,0.578957797963454,0.708151469356763
"4706","YNCD0022C",3.33742551111626,-2.19960459897066,0.696706827594359,-3.15714517477261,0.00159322004651237,0.0065667202307455
"4707","YNCD0023C",1.94196493045684,0.974161889246629,0.756249766066903,1.28814835118964,0.197694326956579,0.325974378258701
"4708","YNCD0024C",2.57405906723279,-0.989162507152782,0.657159014837368,-1.50521028368998,0.132270022095333,0.241339455637654
"4709","YNCD0025W",0.268380781760558,1.53597945681229,2.00290564052013,0.766875596003322,0.443155484532057,0.586829012230473
"4710","YNCD0026W",3.33364448073601,-0.0692096961155321,0.545215468014339,-0.126940081813145,0.898987822530803,0.938853916210458
"4711","YNCD0027C",0.234662943156643,-1.34224212219588,2.05902800743581,-0.651881430145007,0.514477665271342,0.65028252384157
"4712","YNCD0028W",1.55863387752695,-0.371727813710064,0.870825472151316,-0.426868328497254,0.669475235028353,0.777241909182417
"4713","YNCD0029C",0.33858298983578,-0.915697662058742,1.95110986323073,-0.469321425366838,0.638839902934099,0.755586880420022
"4714","YNCD0030W",31.1520011242373,-1.64764313939918,0.239940593276443,-6.86687949254538,6.56214567321936e-12,1.13582494097936e-10
"4715","YNCD0031C",0.878944163783155,0.675300205207533,1.24118410265354,0.544077388490395,0.586388219660144,0.714241371187659
"4716","YNCD0032C",425.789369712407,-0.0543493969029487,0.0635036411007736,-0.85584693981093,0.392082447416955,0.537395565639639
"4717","YNCD0033W",33.4708176752398,-0.108833931136975,0.187369309210647,-0.580852497111042,0.561339870113958,0.691442363828879
"4718","YNCD0034C",0,NA,NA,NA,NA,NA
"4719","YNCE0001C",22.4536370080714,-0.943624881742925,0.230738687778554,-4.0895824225565,4.32150486400036e-05,0.000265278423579867
"4720","YNCE0002W",126.39817897055,-0.27130790692487,0.0965710024625059,-2.80941379924276,0.00496318083078846,0.0172662001993657
"4721","YNCE0003W",5.06325560364724,0.0344843684041448,0.476375701007685,0.0723890163398332,0.942292325554134,0.967620188929591
"4722","YNCE0004C",7.44711227590333,-0.635648695684979,0.372085442181949,-1.70834067561866,0.087573148027524,0.17606343787825
"4723","YNCE0005W",0.823391649061888,-0.514766660878747,1.26420930061245,-0.407184681072484,0.683872351904721,0.788556852806044
"4724","YNCE0006W",5.67911335635765,-0.125959673152937,0.587756958634808,-0.21430571140409,0.830308664446732,0.896540887893309
"4725","YNCE0007C",98.3060500232014,-0.475671284286246,0.119211883400453,-3.99013312027279,6.60362217974437e-05,0.000392438522595502
"4726","YNCE0008C",1.73386945520274,-2.00859401067587,0.92339035336851,-2.17523824387872,0.0296122676632309,0.0757648286133149
"4727","YNCE0009C",1.26913742362373,-0.64642345658815,1.01203857259735,-0.638734010828398,0.522995983300072,0.658160419985291
"4728","YNCE0010W",0.824879786662241,-3.11528218768706,1.22640436956514,-2.54017538178838,0.0110796893706362,0.0340396858210381
"4729","YNCE0011C",41.3394940531021,-0.390218275490452,0.177253354684252,-2.20147187727737,0.0277026354645143,0.0718952051076189
"4730","YNCE0012W",8.34184046565511,-0.69227066029351,0.399018187660763,-1.73493510246221,0.0827523007847355,0.168836014644541
"4731","YNCE0013W",5.63767885689925,-0.129428311473514,0.469816012176109,-0.275487229296472,0.782941935931701,0.8638501366848
"4732","YNCE0014W",3.39004655480406,-1.79047032904453,0.68858152076707,-2.60023000188848,0.00931612969820263,0.0294646438532769
"4733","YNCE0015C",5.92066716127879,0.170759098613546,0.518347400399267,0.329429835052739,0.741830820033611,0.832801390202539
"4734","YNCE0016C",1.87606118866386,-1.74692762244198,0.855517867826803,-2.0419534040587,0.041156153608237,0.0977227260525419
"4735","YNCE0017W",834.754864612271,-0.216492767147898,0.0440658549926877,-4.91293694820679,8.97221370658758e-07,7.76488713541425e-06
"4736","YNCE0018W",5.00677860370494,-0.394876818193453,0.454589599402502,-0.868644638400145,0.385041530867792,0.531424422232562
"4737","YNCE0019W",460.331820476051,-0.94983113650295,0.0596766151406556,-15.9163038028252,4.88389166014509e-57,5.24397519779986e-55
"4738","YNCE0020C",7.03663210960373,-0.386393492497773,0.410905481208691,-0.940346406091213,0.347039903169724,0.493489963317665
"4739","YNCE0021C",9.03102681600009,-0.406210758609769,0.347986638471059,-1.16731711422751,0.243082329743124,0.380028341990717
"4740","YNCE0022C",0.237660155698789,0.559826295879933,2.05978487576171,0.271788720495828,0.785784478610283,0.865656607086112
"4741","YNCE0023W",0,NA,NA,NA,NA,NA
"4742","YNCE0024W",295.690908369904,-1.4455983437735,0.0921733560564163,-15.6834730297625,1.96225268180519e-55,2.07181178987265e-53
"4743","YNCE0025C",1.38603389973842,-0.826506985106622,1.05780392510796,-0.781342331493305,0.434601179073815,0.579011244885934
"4744","YNCE0026W",2.13497515475212,-0.602256476083688,0.687796156628536,-0.87563222079613,0.381230003203634,0.527543047246619
"4745","YNCE0027C",0.157713211922524,0.0789265094222179,2.73218126575775,0.0288877280623356,0.976954133126144,0.985470674024886
"4746","YNCE0028C",1.46803059558254,-1.18409954914787,1.04458935422774,-1.13355506099646,0.256981232522788,0.395427807200946
"4747","YNCE0029C",1.04935505080908,1.24485626318023,1.24970895752735,0.996116940414097,0.319193329807745,0.464634591988066
"4748","YNCF0001C",259.823108473215,0.104695465627847,0.0868013638664381,1.20615000691629,0.227759656155244,0.361437229895659
